Requirement ID,Priority,Area,Approved Requirement (Foundation Plan V1.0),Acceptance Test (Foundation Plan V1.0),Status,Existing Implementation,Exact Source Files,Existing Tests,Evidence Found,Gap,Risk,Recommended Next Action,Suggested Owner,Implementation Order,Dependencies
FND-KC-05,P0,Knowledge,"Human review states: pending, verified, rejected, superseded and restricted.",Unverified/rejected evidence excluded from authoritative answers.,Missing,"None. Retrieval filters on organization_id and embedding status COMPLETED only — there is no evidence-review dimension to filter on.",backend/app/infrastructure/repositories/document_chunk_embedding.py:212-268 (search WHERE clause),None,"The search predicate is organization_id + status='COMPLETED' + provider/model/version. No table in the schema carries a human review state.","Review state machine, reviewer identity, review timestamps, and the retrieval-time exclusion rule.","CRITICAL for the Foundation's thesis. Non-Negotiable Principle 2 (Plan §1.2) requires human approval before any AI statement becomes official. Today every ingested chunk is automatically authoritative, so unverified evidence is indistinguishable from verified evidence.",Deliver in Sprint 2 immediately after the audit spine and server-side roles — approval requires both.,Knowledge Lead + Technical,3,FND-SEC-01;FND-SEC-03
FND-AI-01,P0,AIOS,"Agent registry containing purpose, inputs, outputs, tools, access, limitations, escalation and KPI.",No agent runs without an approved specification.,Missing,"One hardcoded analysis type exists behind a versioned prompt constant. There is no registry, no per-agent owner, no tool permissions, no escalation rule and no kill switch.","backend/app/services/analysis/rag_analysis.py:51 (_ALLOWED_ANALYSIS_TYPES = {'sustainability_summary'}); backend/app/services/analysis/prompts.py:16-42",backend/tests/services/test_structured_output.py; backend/tests/services/test_rag_analysis_service.py,"prompt_template_version and output_schema_version are persisted per run (a genuine strength), but they are configuration values, not an approved agent specification. Zero of the ten items in the Plan's §5.1 Mandatory Agent Control Checklist are implemented as system controls.","Agent registry table, specification/approval workflow, tool permission model, escalation threshold, Product-Owner kill switch, per-agent KPI.","No governance layer over AI execution. The Plan's §5.1 checklist — including the kill switch — cannot be evidenced.","Build the agent registry as the container for the existing RAG use case rather than as new AI capability. Sequence after human approval (FND-KC-05) exists, since 'approved specification' needs an approver.",Technical + Product Owner,7,FND-SEC-01;FND-KC-05
FND-AI-02,P0,AIOS,Retrieval grounded only in permitted evidence with citation and confidence.,Unsupported approved claims equal zero in evaluation sample.,Partial,"This is the strongest AI control in the repository. Retrieval is hard-scoped to the caller's organization_id in SQL; the model sees only opaque SOURCE_n keys; the service rejects any response citing a key outside the assembled context; a minimum relevance threshold pre-filters context; an explicit insufficient-evidence path exists; overall_confidence is captured.","backend/app/infrastructure/repositories/document_chunk_embedding.py:232 (WHERE dce.organization_id = :organization_id); backend/app/services/analysis/rag_analysis.py:329-376; backend/app/services/analysis/structured_output.py:29-90; backend/app/services/analysis/prompts.py:20-42","backend/tests/services/test_rag_analysis_service.py; backend/tests/services/test_structured_output.py; backend/tests/services/test_vector_retrieval_service.py; backend/tests/api/test_retrieval.py — all executed and passing","rag_analysis.py:362-368 marks a run FAILED if the model cites an unknown source key — a real, tested anti-fabrication control. However structured_output.py:68-70 requires source_keys only on reported_metrics, key_findings and recommendations; executive_summary, detected_topics and overall_confidence carry NO citation requirement.","(1) executive_summary is free text with zero citation obligation — an unsupported narrative claim can be returned and is currently unpreventable. (2) overall_confidence is self-reported by the model and uncalibrated. (3) No evaluation set and no evaluation harness exist, so the acceptance test ('zero unsupported approved claims in an evaluation sample') has never been executed. (4) No prompt-injection defence: document text is interpolated directly into the user prompt (prompts.py:50), so a hostile PDF can address the model. (5) No approval step exists, so 'approved claims' is currently undefined.","HIGH. The control design is good but its acceptance test is unexecuted, and the single most-read field of the output — the executive summary — is the one field with no grounding requirement.","Add a citation obligation (or an explicit 'derived, uncited' marking) to executive_summary; build a fixed evaluation set with normal/ambiguous/conflicting/malicious inputs per Plan §5.1; add prompt-injection delimiting and a hostile-document test case.",Technical + QA,4,FND-KC-05
FND-AI-03,P0,AIOS,"Agent run log with prompt/version, evidence IDs, output, reviewer and disposition.",Each official output has full lineage.,Partial,"analysis_runs records a substantial, genuinely useful lineage: organization/engagement/document, requested_by_user_id, analysis_type, query_text, provider, model, prompt_template_version, output_schema_version, temperature, retrieval_top_k, embedding provider/model/version, minimum_relevance_score, request_hash, status, structured_output, token counts, attempt_count and timestamps. analysis_source_references records the evidence IDs.",backend/migrations/versions/da0298a9c722_create_analysis_runs_and_source_.py:66-215; backend/app/infrastructure/repositories/analysis_run.py,backend/tests/infrastructure/repositories/test_analysis_run_repository.py (integration; NOT executed in this audit); backend/tests/services/test_rag_analysis_service.py (executed),"Run lineage is real and unusually complete for this stage. What is absent is entirely the human half: no reviewer_id, no disposition, no reviewed_at, no approval state anywhere in the schema.","Reviewer identity, disposition (accepted/corrected/rejected), review timestamp, and the link from a run to an approved official output. The rows are also mutable — a run can be updated with no history.","Lineage exists for the machine half only. Because no output is ever approved, 'official output' is currently an undefined concept, so the acceptance test cannot be evaluated at all.",Extend analysis_runs with a review/disposition sub-record written through the append-only audit spine.,Technical + QA,5,FND-SEC-03;FND-KC-05
FND-PRJ-01,P0,Project,Aramco project requirement/obligation register extracted from authorized contract package.,100% accepted requirements linked to source.,Missing,None.,n/a,None,No requirement/obligation entity exists. The nearest capability is generic RAG over sustainability documents; there is no clause/obligation extraction.,Entire requirement.,The primary proof case has no home in the system. Without this the Aramco golden journeys GJ-02 and GJ-03 cannot exist.,Build after the register framework (FND-PMO-03) and citation page numbers (FND-KC-04) land — both are prerequisites for 'linked to source'.,Project Lead + Technical,9,FND-PMO-03;FND-KC-04
FND-PRJ-02,P0,Project,Deliverable and submittal tracker including 43 required deliverables where applicable.,"Counts reconciled; due dates, owners and evidence visible.",Missing,None.,n/a,None,No deliverable/submittal entity exists.,Entire requirement.,No submittal control; no evidence of PMO value for the proof case.,Build on the register framework.,Project Lead,10,FND-PMO-03
FND-PRJ-03,P0,Project,"RFI, correspondence, procurement, inspection, quality, safety, commercial change and acceptance registers.",At least one complete golden journey tested end-to-end.,Missing,None. No golden-journey test harness exists either (no Playwright/Cypress in frontend/package.json).,n/a,None,"The repository's tests are unit + API-integration only; there is no end-to-end journey test at any level, so even the acceptance mechanism is absent.",Entire requirement plus the E2E test harness needed to accept it.,Zero of the seven golden journeys GJ-01..GJ-07 can currently be evidenced.,Introduce an E2E harness as part of FND-TST-01 before attempting any register work that must be accepted by a golden-journey test.,Project Lead + Technical,10,FND-PMO-03;FND-TST-01
FND-MTH-01,P0,Methods,"One controlled calculation/method with inputs, units, factors, source, version, reviewer and result.",Independent recalculation reproduces result.,Missing,"None. No calculation engine exists. The only metric-shaped output is LLM-extracted text: MetricValue.value is typed str|None and is never computed, validated or recalculated.",backend/app/services/analysis/structured_output.py:48-54,None,"There is no deterministic calculation anywhere in backend/app/services. Every number in the system originates from the model reading it out of a document.","Method definition, versioned emission/conversion factors, deterministic calculation outside the LLM, reviewer, reproducibility.","HIGH and easy to misread. Because MetricValue looks like structured data, a reader may assume the platform calculates sustainability metrics. It does not — it transcribes them. Any KPI or funding claim built on this today would be unsupported.","Implement one deterministic, versioned method with unit tests proving independent recalculation. Keep it strictly outside the LLM.",Technical + Knowledge Lead,6,none
FND-SEC-01,P0,Security,Authentication; least-privilege roles and record/project access enforcement on server.,Unauthorized-access tests return denial.,Partial,"Authentication is implemented to a high standard and verified: ES256-only allow-list (hardcoded, not configurable), JWKS with kid selection and throttled refresh, required exp/iat/sub/aud/iss claims, uniform generic error on every failure path. Organization-level tenant isolation is implemented in the service layer with cross-tenant negative tests: organization_id is NEVER accepted from the client on any endpoint and is always re-derived from current_user. Role-based least privilege is entirely absent on the server. Row Level Security is not enabled and the backend connects with a role that bypasses it.","backend/app/infrastructure/security/supabase_jwt.py:49-157; backend/app/api/deps.py:121-137; backend/app/services/organization.py:36-75; backend/app/services/engagement.py; backend/app/services/document_read.py; backend/app/services/analysis/rag_analysis.py:169-218; backend/app/infrastructure/storage/supabase_document_storage.py:21-23 (service-role key bypasses RLS)","backend/tests/infrastructure/security/test_supabase_jwt.py; backend/tests/api/test_auth.py; backend/tests/services/test_organization_service.py; backend/tests/services/test_engagement_service.py; backend/tests/services/test_document_read_service.py; backend/tests/api/test_documents_read.py; backend/tests/services/test_vector_retrieval_service.py — all executed and passing; plus 144 integration tests NOT executed","Cross-tenant probes deliberately return 404 rather than 403 so a foreign id is indistinguishable from a nonexistent one (organization.py:70-74) — a correct, deliberate control, and negatively tested. No migration in backend/migrations/versions contains CREATE POLICY or ENABLE ROW LEVEL SECURITY.","(1) Zero server-side role enforcement — users.role is read only to echo it back at auth.py:31. (2) No RLS defence-in-depth; a single missed service-layer check has no second barrier. (3) No record/project-level authorization below the organization boundary. (4) Denied attempts are not audited (nothing to audit into).","CRITICAL AND RELEASE-BLOCKING. Every authenticated member of an organization can read, upload, process, embed and analyse every document in that organization, regardless of the role shown in the UI. A Viewer can call POST /api/v1/documents directly and succeed. This alone forbids real client data.",SPRINT 1 PRIORITY 1: server-side role enforcement dependency + per-endpoint permission map + negative tests per role; then RLS policies as defence-in-depth.,Technical + Security Specialist,1,none
FND-SEC-02,P0,Security,"File validation, size/type controls, malware scanning or quarantine workflow.",Unsafe test file cannot enter verified evidence.,Partial,"Validation is genuinely layered and tested: bounded streaming read that aborts the instant the configured maximum is exceeded, filename sanitisation with control-character stripping and a 255-char cap, .pdf extension check, application/pdf declared-content-type check, %PDF- magic-byte check, empty-file check, and a second size check inside the service. There is no malware scanning and no quarantine state.","backend/app/api/v1/documents.py:60-76 (_read_bounded); backend/app/services/document_upload.py:61-69,135-147; backend/app/core/config.py:59 (max_upload_size_bytes 25MB)",backend/tests/services/test_document_upload_service.py; backend/tests/api/test_documents.py — executed and passing,"Magic-byte verification means a renamed .exe is rejected. However a genuinely malicious file that is a structurally valid PDF passes every current check and is stored and processed.","Malware scanning or quarantine workflow; no PENDING_SCAN/QUARANTINED state in documents.processing_status.","The stated acceptance test is NOT met. An unsafe-but-valid PDF enters the evidence pipeline unchecked and is served back to reviewers.","Add a QUARANTINED/PENDING_SCAN state to the document lifecycle in Sprint 1 (cheap, no external dependency), and raise the scanner choice as a management decision — it has cost and data-residency implications.",Technical + Security Specialist,2,Management decision on scanner
FND-SEC-03,P0,Security,Tamper-evident audit sequence and protected administrator actions.,Alteration is detected or access is denied and logged.,Missing,"None. There is no audit table of any kind. The system has application logging only (Python logging via app/core/logging.py), which is not a business audit trail and is not tamper-evident.","backend/app/core/logging.py; backend/app/core/exceptions.py:73 (logger.exception); backend/app/domain/entities/__init__.py:10 mentions AuditLog only as Hemaya design inspiration, never implemented",None,"No migration creates an audit table. Business-relevant rows (documents, analysis_runs, engagements) are updated in place with no history, no actor and no previous-state capture. No append-only constraint, no hash chain, no protected administrator operations.","Entire requirement: append-only audit table, actor/time/reason/previous-state/new-state capture, tamper evidence (hash chain or equivalent), administrator-action protection.","CRITICAL AND RELEASE-BLOCKING, and it is the deepest structural gap in the repository. Nothing that happens in the system is currently reconstructable after the fact. Every downstream requirement — GOV registers, PMO gates, KC evidence states, AI dispositions, approvals — must write into this spine, so building any of them first guarantees a full retrofit.",SPRINT 1 PRIORITY 2: build the append-only audit spine before any register or approval workflow.,Technical + Security Specialist,1,none
FND-REL-01,P0,Reliability,Automated backup plus documented restore procedure and tested recovery.,Restore to clean environment succeeds.,Missing,"None in the repository: no backup script, no restore runbook, no recovery evidence, no measured RPO/RTO.",n/a (searched repository root, backend/, .github/workflows/),None,"docker-compose.yml defines one api service and no database service. The database is an external managed Supabase instance; whatever managed backup that platform provides is outside this repository, unverified here, and has never been restore-tested.","Automated backup with evidence, documented restore runbook, an actually-executed clean-environment restore, measured RPO/RTO.","Total data-loss exposure is unquantified. Per the Plan's own rule, a configured backup without a tested restore does not satisfy this requirement — and here neither is evidenced.",Document and then EXECUTE one full restore into a clean environment; capture the evidence pack. Cannot be satisfied by configuration alone.,Technical Lead,3,none
FND-TST-01,P0,Testing,"Unit, integration, authorization, extraction, agent, calculation and golden-journey tests.",Release gate passes with zero P0 defects.,Partial,"Test discipline is a genuine strength. Backend: 443 non-integration tests (442 executed, 442 passed) plus 144 integration tests. Frontend: 151 tests across 27 files, all passing. Lint (ruff, oxlint) and types (mypy 105 files, tsc) all clean. CI runs lint + typecheck + test + build on every push and PR.","backend/pytest.ini; backend/tests/** (57 test modules); frontend/src/**/__tests__/**; .github/workflows/ci.yml:1-48","Executed in this audit: 442 backend + 151 frontend = 593 passed, 0 failed, 0 skipped","Unit, integration, authorization and extraction test categories are all genuinely covered. CI gates on `pytest -m 'not integration'`, so the 144 integration tests are NOT part of the release gate and run only manually against a live DB.","(1) No agent-evaluation tests (no eval set for normal/ambiguous/conflicting/malicious inputs). (2) No calculation tests (no calculations exist). (3) No golden-journey/E2E tests and no E2E harness. (4) Integration tests excluded from the CI gate. (5) No coverage measurement or threshold. (6) No dependency or security scanning in CI (no pip-audit, npm audit or Dependabot).","The release gate is real but incomplete: it cannot detect a regression in tenant isolation at the database layer (integration tests excluded from CI), and it cannot detect AI quality regression at all.","Add an ephemeral Postgres+pgvector service container to CI so integration tests join the gate; add coverage reporting; add dependency scanning; introduce an E2E harness before register work begins.",Technical + QA,3,none
FND-UX-01,P1,Experience,Arabic/English interface and reports with usable RTL for priority journeys.,Bilingual UAT completed by Product Owner.,Partial,"Bilingual infrastructure is genuinely implemented: full en/ar string catalogues, a locale context that sets document.documentElement.dir to rtl for Arabic, a locale toggle in the context bar, and Arabic-capable fonts bundled (IBM Plex Sans Arabic).","frontend/src/lib/i18n/strings/en.ts; frontend/src/lib/i18n/strings/ar.ts; frontend/src/lib/i18n/LocaleContext.tsx:11,26; frontend/src/shell/ContextBar/LocaleToggle.tsx",Frontend suite renders localized pages; no dedicated RTL layout regression test found,Verified by reading LocaleContext.tsx: direction is derived from locale and applied to the document element.,"No bilingual reports (no report generation exists at all); no RTL visual regression tests; the Product Owner UAT named in the acceptance test has not been performed or recorded.",Moderate. The interface half is credible; the reporting half does not exist.,Defer. Record a bilingual UAT session against the live Documents/Analysis journeys once server-side authorization lands.,Product Owner,11,FND-SEC-01
FND-FND-01,P1,Funding,Case-study evidence pack and 12-minute government demonstration.,Every benefit claim supported by measured result.,Missing,None. No KPI baseline exists; no measurement has been taken; no evidence pack directory existed before this audit.,n/a,None,No EV-* evidence artefacts exist in the repository. This audit created the first project-governance/ directory.,Entire requirement.,"Any external claim made today would be unsupported. Plan Risk 'Government pitch overstates maturity' (M/High) is currently live.","Do not prepare any external or funding material until at least G2 is passed and KPI baselines are captured. This is an explicit management restraint, not an engineering task.",Founder,12,All P0
